Station Name,Time Period,Avg Daily Entries
Naylor Road,Late Night (12am-Close),0.0
Naylor Road,Midday (9:30am-3pm),0.3
Naylor Road,PM Peak (3pm-7pm),0.2
New Carrollton,Evening (7pm-12am),0.2
New Carrollton,Midday (9:30am-3pm),0.8
New Carrollton,AM Peak (Open-9:30am),2.4
New Carrollton,PM Peak (3pm-7pm),0.6
New Carrollton,Late Night (12am-Close),0.0
NoMa-Gallaudet U,PM Peak (3pm-7pm),3.9
NoMa-Gallaudet U,Evening (7pm-12am),1.1
NoMa-Gallaudet U,Late Night (12am-Close),0.0
NoMa-Gallaudet U,AM Peak (Open-9:30am),3.9
NoMa-Gallaudet U,Midday (9:30am-3pm),2.3
North Bethesda,Late Night (12am-Close),0.0
North Bethesda,Evening (7pm-12am),0.2
North Bethesda,AM Peak (Open-9:30am),0.9
North Bethesda,Midday (9:30am-3pm),0.5
North Bethesda,PM Peak (3pm-7pm),0.6
Pentagon,Midday (9:30am-3pm),1.6
Pentagon,Evening (7pm-12am),0.3
Pentagon,AM Peak (Open-9:30am),2.9
Pentagon,Late Night (12am-Close),0.0
Pentagon,PM Peak (3pm-7pm),4.6
Pentagon City,Midday (9:30am-3pm),2.2
Pentagon City,PM Peak (3pm-7pm),2.7
Pentagon City,Evening (7pm-12am),1.0
Pentagon City,Late Night (12am-Close),0.0
Pentagon City,AM Peak (Open-9:30am),2.9
Potomac Ave,Late Night (12am-Close),0.0
Potomac Ave,Midday (9:30am-3pm),0.6
Potomac Ave,Evening (7pm-12am),0.2
Potomac Ave,PM Peak (3pm-7pm),0.5
Potomac Ave,AM Peak (Open-9:30am),1.5
Potomac Yard,Late Night (12am-Close),0.0
Potomac Yard,Evening (7pm-12am),0.1
Potomac Yard,Midday (9:30am-3pm),0.4
Potomac Yard,PM Peak (3pm-7pm),0.4
Potomac Yard,AM Peak (Open-9:30am),0.8
Reston Town Center,Midday (9:30am-3pm),0.2
Reston Town Center,Evening (7pm-12am),0.1
Reston Town Center,Late Night (12am-Close),0.0
Reston Town Center,AM Peak (Open-9:30am),0.4
Reston Town Center,PM Peak (3pm-7pm),0.4
Rhode Island Ave,Late Night (12am-Close),0.0
Rhode Island Ave,AM Peak (Open-9:30am),2.1
Rhode Island Ave,Midday (9:30am-3pm),1.4
Rhode Island Ave,Evening (7pm-12am),0.6
Rhode Island Ave,PM Peak (3pm-7pm),1.1
Rockville,Evening (7pm-12am),0.2
Rockville,AM Peak (Open-9:30am),1.3
Rockville,Late Night (12am-Close),0.0
Rockville,Midday (9:30am-3pm),0.6
Rockville,PM Peak (3pm-7pm),0.6
Ronald Reagan Washington National Airport,PM Peak (3pm-7pm),1.6
Ronald Reagan Washington National Airport,Late Night (12am-Close),0.0
Ronald Reagan Washington National Airport,Midday (9:30am-3pm),1.8
Ronald Reagan Washington National Airport,Evening (7pm-12am),1.3
Ronald Reagan Washington National Airport,AM Peak (Open-9:30am),0.6
Rosslyn,PM Peak (3pm-7pm),3.7
Rosslyn,Late Night (12am-Close),0.0
Rosslyn,AM Peak (Open-9:30am),2.1
Rosslyn,Evening (7pm-12am),0.9
Rosslyn,Midday (9:30am-3pm),1.8
Shady Grove,Late Night (12am-Close),0.0
Shady Grove,AM Peak (Open-9:30am),4.3
Shady Grove,Evening (7pm-12am),0.2
Shady Grove,PM Peak (3pm-7pm),0.9
Shady Grove,Midday (9:30am-3pm),1.2
Shaw-Howard U,Late Night (12am-Close),0.0
Shaw-Howard U,PM Peak (3pm-7pm),1.6
Shaw-Howard U,AM Peak (Open-9:30am),1.0
Shaw-Howard U,Midday (9:30am-3pm),0.8
Shaw-Howard U,Evening (7pm-12am),0.5
Silver Spring,AM Peak (Open-9:30am),2.5
Silver Spring,Evening (7pm-12am),0.4
Silver Spring,Midday (9:30am-3pm),1.3
Silver Spring,PM Peak (3pm-7pm),1.4
Silver Spring,Late Night (12am-Close),0.0
Smithsonian,Evening (7pm-12am),0.5
Smithsonian,PM Peak (3pm-7pm),2.5
Smithsonian,AM Peak (Open-9:30am),0.2
Smithsonian,Midday (9:30am-3pm),0.8
Smithsonian,Late Night (12am-Close),0.0
Southern Ave,Evening (7pm-12am),0.2
Southern Ave,AM Peak (Open-9:30am),1.7
Southern Ave,Midday (9:30am-3pm),0.6
Southern Ave,Late Night (12am-Close),0.0
Southern Ave,PM Peak (3pm-7pm),0.4
Spring Hill,AM Peak (Open-9:30am),0.2
Spring Hill,Midday (9:30am-3pm),0.2
Spring Hill,Evening (7pm-12am),0.1
Spring Hill,PM Peak (3pm-7pm),0.3
Spring Hill,Late Night (12am-Close),0.0
Stadium-Armory,PM Peak (3pm-7pm),0.6
Stadium-Armory,Midday (9:30am-3pm),0.5
Stadium-Armory,Evening (7pm-12am),0.2
Stadium-Armory,Late Night (12am-Close),0.0
Stadium-Armory,AM Peak (Open-9:30am),0.8
Suitland,PM Peak (3pm-7pm),0.4
Suitland,Late Night (12am-Close),0.0
Suitland,Midday (9:30am-3pm),0.6
Suitland,Evening (7pm-12am),0.1
Suitland,AM Peak (Open-9:30am),1.7
Takoma,Late Night (12am-Close),0.0
Takoma,AM Peak (Open-9:30am),2.0
Takoma,Midday (9:30am-3pm),0.8
Takoma,PM Peak (3pm-7pm),1.1
Takoma,Evening (7pm-12am),0.3
Tenleytown-AU,Midday (9:30am-3pm),1.1
Tenleytown-AU,Evening (7pm-12am),1.0
Tenleytown-AU,Late Night (12am-Close),0.0
Tenleytown-AU,AM Peak (Open-9:30am),1.1
Tenleytown-AU,PM Peak (3pm-7pm),2.1
Twinbrook,Evening (7pm-12am),0.2
Twinbrook,Late Night (12am-Close),0.0
Twinbrook,AM Peak (Open-9:30am),1.3
Twinbrook,Midday (9:30am-3pm),0.6
Twinbrook,PM Peak (3pm-7pm),0.6
Tysons,Evening (7pm-12am),0.4
Tysons,Late Night (12am-Close),0.0
Tysons,AM Peak (Open-9:30am),0.4
Tysons,PM Peak (3pm-7pm),1.1
Tysons,Midday (9:30am-3pm),0.4
U Street,PM Peak (3pm-7pm),1.4
U Street,Late Night (12am-Close),0.0
U Street,Midday (9:30am-3pm),1.0
U Street,AM Peak (Open-9:30am),1.5
U Street,Evening (7pm-12am),1.0
Union Station,PM Peak (3pm-7pm),5.7
Union Station,Midday (9:30am-3pm),2.9
Union Station,Evening (7pm-12am),1.7
Union Station,Late Night (12am-Close),0.0
Union Station,AM Peak (Open-9:30am),5.3
Van Dorn Street,Midday (9:30am-3pm),0.3
Van Dorn Street,Evening (7pm-12am),0.1
Van Dorn Street,Late Night (12am-Close),0.0
Van Dorn Street,PM Peak (3pm-7pm),0.2
Van Dorn Street,AM Peak (Open-9:30am),1.1
Van Ness-UDC,AM Peak (Open-9:30am),1.4
Van Ness-UDC,Evening (7pm-12am),0.4
Van Ness-UDC,Midday (9:30am-3pm),1.0
Van Ness-UDC,PM Peak (3pm-7pm),1.2
Van Ness-UDC,Late Night (12am-Close),0.0
Vienna,AM Peak (Open-9:30am),2.8
Vienna,Evening (7pm-12am),0.2
Vienna,PM Peak (3pm-7pm),0.3
Vienna,Late Night (12am-Close),0.0
Vienna,Midday (9:30am-3pm),0.8
Virginia Sq-GMU,PM Peak (3pm-7pm),0.7
Virginia Sq-GMU,Late Night (12am-Close),0.0
Virginia Sq-GMU,AM Peak (Open-9:30am),1.2
Virginia Sq-GMU,Midday (9:30am-3pm),0.5
Virginia Sq-GMU,Evening (7pm-12am),0.2
Waterfront,PM Peak (3pm-7pm),1.3
Waterfront,Late Night (12am-Close),0.0
Waterfront,AM Peak (Open-9:30am),1.1
Waterfront,Midday (9:30am-3pm),0.9
Waterfront,Evening (7pm-12am),0.6
West Falls Church,Late Night (12am-Close),0.0
