Station Name,Time Period,Avg Daily Entries
Suitland,Late Night (12am-Close),0.0
Suitland,Midday (9:30am-3pm),0.6
Suitland,Evening (7pm-12am),0.1
Suitland,AM Peak (Open-9:30am),1.6
Takoma,Late Night (12am-Close),0.0
Takoma,AM Peak (Open-9:30am),2.1
Takoma,Midday (9:30am-3pm),0.9
Takoma,PM Peak (3pm-7pm),1.2
Takoma,Evening (7pm-12am),0.2
Tenleytown-AU,Midday (9:30am-3pm),1.3
Tenleytown-AU,Evening (7pm-12am),0.9
Tenleytown-AU,Late Night (12am-Close),0.0
Tenleytown-AU,AM Peak (Open-9:30am),1.3
Tenleytown-AU,PM Peak (3pm-7pm),2.1
Twinbrook,Evening (7pm-12am),0.1
Twinbrook,Late Night (12am-Close),0.0
Twinbrook,AM Peak (Open-9:30am),1.3
Twinbrook,Midday (9:30am-3pm),0.6
Twinbrook,PM Peak (3pm-7pm),0.6
Tysons,Evening (7pm-12am),0.5
Tysons,Late Night (12am-Close),0.0
Tysons,AM Peak (Open-9:30am),0.4
Tysons,PM Peak (3pm-7pm),1.1
Tysons,Midday (9:30am-3pm),0.3
U Street,PM Peak (3pm-7pm),1.5
U Street,Late Night (12am-Close),0.0
U Street,Midday (9:30am-3pm),1.0
U Street,AM Peak (Open-9:30am),1.6
U Street,Evening (7pm-12am),1.0
Union Station,PM Peak (3pm-7pm),6.7
Union Station,Midday (9:30am-3pm),3.6
Union Station,Evening (7pm-12am),2.2
Union Station,Late Night (12am-Close),0.0
Union Station,AM Peak (Open-9:30am),5.9
Van Dorn Street,Midday (9:30am-3pm),0.3
Van Dorn Street,Evening (7pm-12am),0.1
Van Dorn Street,Late Night (12am-Close),0.0
Van Dorn Street,PM Peak (3pm-7pm),0.2
Van Dorn Street,AM Peak (Open-9:30am),1.0
Van Ness-UDC,AM Peak (Open-9:30am),1.4
Van Ness-UDC,Evening (7pm-12am),0.3
Van Ness-UDC,Midday (9:30am-3pm),1.1
Van Ness-UDC,PM Peak (3pm-7pm),1.2
Van Ness-UDC,Late Night (12am-Close),0.1
Vienna,AM Peak (Open-9:30am),2.8
Vienna,Evening (7pm-12am),0.2
Vienna,PM Peak (3pm-7pm),0.6
Vienna,Late Night (12am-Close),0.0
Vienna,Midday (9:30am-3pm),0.9
Virginia Sq-GMU,PM Peak (3pm-7pm),0.7
Virginia Sq-GMU,Late Night (12am-Close),0.0
Virginia Sq-GMU,AM Peak (Open-9:30am),1.3
Virginia Sq-GMU,Midday (9:30am-3pm),0.6
Virginia Sq-GMU,Evening (7pm-12am),0.2
Waterfront,PM Peak (3pm-7pm),1.3
Waterfront,Late Night (12am-Close),0.0
Waterfront,AM Peak (Open-9:30am),1.2
Waterfront,Midday (9:30am-3pm),0.9
Waterfront,Evening (7pm-12am),0.6
West Falls Church,Late Night (12am-Close),0.0
West Falls Church,Evening (7pm-12am),0.0
West Falls Church,AM Peak (Open-9:30am),1.0
West Falls Church,Midday (9:30am-3pm),0.3
West Falls Church,PM Peak (3pm-7pm),0.2
West Hyattsville,Evening (7pm-12am),0.1
West Hyattsville,Late Night (12am-Close),0.0
West Hyattsville,Midday (9:30am-3pm),0.6
West Hyattsville,AM Peak (Open-9:30am),1.7
West Hyattsville,PM Peak (3pm-7pm),0.5
Wheaton,Evening (7pm-12am),0.2
Wheaton,Late Night (12am-Close),0.0
Wheaton,Midday (9:30am-3pm),0.5
Wheaton,PM Peak (3pm-7pm),0.5
Wheaton,AM Peak (Open-9:30am),1.1
Wiehle-Reston East,PM Peak (3pm-7pm),0.4
Wiehle-Reston East,Midday (9:30am-3pm),0.3
Wiehle-Reston East,AM Peak (Open-9:30am),1.1
Wiehle-Reston East,Late Night (12am-Close),0.0
Wiehle-Reston East,Evening (7pm-12am),0.1
Woodley Park,Midday (9:30am-3pm),1.0
Woodley Park,PM Peak (3pm-7pm),1.1
Woodley Park,AM Peak (Open-9:30am),1.5
Woodley Park,Evening (7pm-12am),0.3
Woodley Park,Late Night (12am-Close),0.0
